Frame ordinal,Time (s),"displacement (vertical, cm)","displacement (horizontal, cm)","velocity (vertical, m/s)","velocity (horizontal, m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","power (vertical, kW)","power (horizontal, kW)","force (vertical, kN)","force (horizontal, kN)"
1,35.881,0.00,-0.00,0.18,0.03,-1.46,-0.64,0.22,0.00,1.19,0.00
2,35.915,0.67,0.22,0.18,0.03,-1.46,-0.64,0.22,0.00,1.19,0.00
3,35.948,1.36,0.38,0.18,0.03,-1.46,-0.64,0.22,0.00,1.19,0.00
4,35.981,1.96,0.44,0.14,0.00,-1.62,-0.58,0.17,0.00,1.17,0.00
5,36.015,2.38,0.38,0.08,-0.01,-2.05,-0.42,0.09,0.00,1.11,0.00
6,36.048,2.57,0.29,0.00,-0.02,-2.40,-0.18,0.00,0.00,1.06,0.00
7,36.081,2.45,0.21,-0.09,-0.03,-2.29,0.04,0.00,0.00,1.07,0.01
8,36.115,1.99,0.12,-0.16,-0.02,-1.59,0.19,0.00,0.00,1.17,0.03
9,36.148,1.25,0.04,-0.20,-0.01,-0.38,0.26,0.00,0.00,1.35,0.04
10,36.181,0.45,0.02,-0.19,-0.00,0.95,0.22,0.00,0.00,1.54,0.03
11,36.215,-0.19,0.07,-0.13,0.01,1.83,0.07,0.00,0.00,1.66,0.01
12,36.248,-0.50,0.10,-0.05,0.00,1.87,-0.10,0.00,0.00,1.67,0.00
13,36.281,-0.45,0.10,0.01,-0.00,1.19,-0.18,0.02,0.00,1.57,0.00
14,36.315,-0.24,0.08,0.04,-0.01,0.29,-0.14,0.05,0.00,1.44,0.00
15,36.348,-0.10,0.02,0.02,-0.01,-0.33,-0.03,0.03,0.00,1.35,0.00
16,36.381,-0.10,-0.04,-0.00,-0.01,-0.47,0.06,0.00,0.00,1.33,0.01
17,36.415,-0.15,-0.07,-0.02,-0.01,-0.31,0.13,0.00,0.00,1.36,0.02
18,36.448,-0.22,-0.09,-0.02,-0.00,-0.08,0.17,0.00,0.00,1.39,0.02
19,36.481,-0.29,-0.10,-0.02,0.00,0.10,0.17,0.00,0.00,1.42,0.02
20,36.515,-0.36,-0.09,-0.01,0.01,0.23,0.12,0.00,0.00,1.43,0.02
21,36.548,-0.40,-0.03,-0.00,0.01,0.27,0.03,0.00,0.00,1.44,0.00
22,36.582,-0.39,0.03,0.01,0.01,0.18,-0.04,0.01,0.00,1.43,0.00
23,36.615,-0.32,0.04,0.01,0.01,0.02,-0.12,0.02,0.00,1.40,0.00
24,36.648,-0.26,0.06,0.01,0.00,-0.09,-0.20,0.01,0.00,1.39,0.00
25,36.681,-0.25,0.10,0.00,-0.00,-0.03,-0.21,0.00,0.00,1.40,0.00
26,36.715,-0.29,0.07,0.00,-0.01,0.11,-0.11,0.00,0.00,1.42,0.00
27,36.748,-0.28,-0.04,0.01,-0.02,0.15,0.09,0.02,0.00,1.42,0.01
28,36.782,-0.19,-0.12,0.02,-0.01,0.02,0.22,0.03,0.00,1.40,0.03
29,36.815,-0.10,-0.08,0.02,0.01,-0.18,0.14,0.02,0.00,1.38,0.02
30,36.848,-0.06,-0.01,0.00,0.01,-0.29,-0.06,0.00,0.00,1.36,0.00
31,36.882,-0.09,0.01,-0.01,-0.00,-0.20,-0.17,0.00,0.00,1.37,0.00
32,36.915,-0.14,-0.04,-0.01,-0.01,0.02,-0.08,0.00,0.00,1.41,0.00
33,36.948,-0.20,-0.11,-0.01,-0.01,0.20,0.08,0.00,0.00,1.43,0.01
34,36.982,-0.22,-0.13,0.01,-0.00,0.20,0.11,0.01,0.00,1.43,0.02
35,37.015,-0.15,-0.10,0.01,0.00,0.05,-0.02,0.02,0.00,1.41,0.00
36,37.048,-0.08,-0.06,0.01,-0.00,-0.13,-0.16,0.01,0.00,1.38,0.00
37,37.082,-0.07,-0.08,-0.00,-0.01,-0.18,-0.13,0.00,0.00,1.38,0.00
