Time,PosX,PosY,RawVelX,RawVelY,CalcVelX,CalcVelY,RawAccX,RawAccY,CalcAccX,CalcAccY
35.881000,-0.000000,0.000000,0.03,0.18,-0.001716,0.153431,-0.64,-1.46,-1.117359,-1.585928
35.915000,0.002200,0.006700,0.03,0.18,-0.001716,0.153431,-0.64,-1.46,-1.117359,-1.585928
35.948000,0.003800,0.013600,0.03,0.18,-0.001716,0.153431,-0.64,-1.46,-1.117359,-1.585928
35.981000,0.004400,0.019600,0.00,0.14,-0.001716,0.153431,-0.58,-1.62,-1.117359,-1.585928
36.015000,0.003800,0.023800,-0.01,0.08,-0.025245,0.092892,-0.42,-2.05,-0.223472,-1.967993
36.048000,0.002900,0.025700,-0.02,0.00,-0.025490,0.012990,-0.18,-2.40,0.129758,-2.717705
36.081000,0.002100,0.024500,-0.03,-0.09,-0.025000,-0.086029,0.04,-2.29,-0.115340,-3.006055
36.115000,0.001200,0.019900,-0.02,-0.16,-0.026716,-0.183333,0.19,-1.59,0.064879,-2.537486
36.148000,0.000400,0.012500,-0.01,-0.20,-0.016176,-0.237255,0.26,-0.38,0.547866,-0.519031
36.181000,0.000200,0.004500,-0.00,-0.19,0.006373,-0.221324,0.22,0.95,0.677624,1.420127
36.215000,0.000700,-0.001900,0.01,-0.13,0.014216,-0.144608,0.07,1.83,-0.230681,2.955594
36.248000,0.001000,-0.005000,0.00,-0.05,0.004412,-0.034069,-0.10,1.87,-0.273933,3.279988
36.281000,0.001000,-0.004500,-0.00,0.01,-0.002696,0.048775,-0.18,1.19,-0.151384,1.405709
36.315000,0.000800,-0.002400,-0.01,0.04,-0.012255,0.058824,-0.14,0.29,-0.389273,-0.720877
36.348000,0.000200,-0.001000,-0.01,0.02,-0.019363,0.020098,-0.03,-0.33,0.007209,-1.326413
36.381000,-0.000400,-0.001000,-0.01,-0.00,-0.013480,-0.010294,0.06,-0.47,0.295559,-0.389273
36.415000,-0.000700,-0.001500,-0.01,-0.02,-0.006863,-0.018873,0.13,-0.31,0.072088,-0.165802
36.448000,-0.000900,-0.002200,-0.00,-0.02,-0.004657,-0.021078,0.17,-0.08,0.079296,0.014418
36.481000,-0.001000,-0.002900,0.00,-0.02,-0.000980,-0.021324,0.17,0.10,0.158593,-0.021626
36.515000,-0.000900,-0.003600,0.01,-0.01,0.010784,-0.017402,0.12,0.23,0.490196,0.266724
36.548000,-0.000300,-0.004000,0.01,-0.00,0.020098,-0.005147,0.03,0.27,0.000000,0.439735
36.582000,0.000300,-0.003900,0.01,0.01,0.010049,0.013235,-0.04,0.18,-0.511822,0.576701
36.615000,0.000400,-0.003200,0.01,0.01,0.002696,0.021814,-0.12,0.02,0.122549,-0.108131
36.648000,0.000600,-0.002600,0.00,0.01,0.010784,0.011275,-0.20,-0.09,0.245098,-0.461361
36.681000,0.001000,-0.002500,-0.00,0.00,0.003922,-0.006863,-0.21,-0.03,-0.663206,-0.504614
36.715000,0.000700,-0.002900,-0.01,0.00,-0.023039,-0.007598,-0.11,0.11,-0.778547,0.482987
36.748000,-0.000400,-0.002800,-0.02,0.01,-0.032843,0.015931,0.09,0.15,0.273933,0.771338
36.782000,-0.001200,-0.001900,-0.01,0.02,-0.005882,0.029657,0.22,0.02,1.167820,-0.021626
36.815000,-0.000800,-0.001000,0.01,0.02,0.020343,0.020833,0.14,-0.18,0.252307,-0.454152
36.848000,-0.000100,-0.000600,0.01,0.00,0.015686,0.000735,-0.06,-0.29,-0.475779,-0.655998
36.882000,0.000100,-0.000900,-0.00,-0.01,-0.005147,-0.013235,-0.17,-0.20,-0.655998,-0.144175
36.915000,-0.000400,-0.001400,-0.01,-0.01,-0.020588,-0.017647,-0.08,0.02,-0.187428,-0.115340
36.948000,-0.001100,-0.002000,-0.01,-0.01,-0.014951,-0.014216,0.08,0.20,0.482987,0.346021
36.982000,-0.001300,-0.002200,-0.00,0.01,0.002451,0.008333,0.11,0.20,0.461361,0.879469
37.015000,-0.001000,-0.001500,0.00,0.01,0.012990,0.024265,-0.02,0.05,0.108131,-0.021626
37.048000,-0.000600,-0.000800,-0.00,0.01,0.005147,0.012990,-0.16,-0.13,-0.555075,-0.569493
37.082000,-0.000800,-0.000700,-0.01,-0.00,-0.019853,-0.005882,-0.13,-0.18,-0.785755,-0.461361
37.115000,-0.001800,-0.001100,-0.02,-0.01,-0.028922,-0.013971,0.06,-0.11,0.302768,0.007209
37.148000,-0.002500,-0.001500,-0.01,-0.01,-0.009314,-0.005637,0.24,-0.06,0.749712,0.410900
37.182000,-0.002400,-0.001500,0.01,-0.01,0.012255,0.000490,0.26,-0.10,0.446943,-0.100923
37.215000,-0.001800,-0.001600,0.01,-0.01,0.019363,-0.007843,0.13,-0.19,-0.021626,-0.360438
37.249000,-0.001200,-0.002100,0.01,-0.02,0.015196,-0.022549,-0.03,-0.23,-0.187428,-0.461361
37.282000,-0.000800,-0.003100,0.01,-0.03,0.008824,-0.033333,-0.11,-0.15,-0.173010,-0.158593
37.315000,-0.000600,-0.004300,0.00,-0.03,0.002206,-0.038235,-0.10,0.04,-0.194637,-0.115340
37.349000,-0.000600,-0.005600,0.00,-0.03,0.000980,-0.034314,-0.06,0.22,0.115340,0.360438
37.382000,-0.000500,-0.006500,0.00,-0.02,0.003676,-0.016422,-0.01,0.30,0.007209,0.641580
37.415000,-0.000400,-0.006700,0.00,-0.00,-0.000490,0.003922,0.05,0.27,-0.216263,0.475779
37.448000,-0.000500,-0.006400,0.00,0.00,-0.001716,0.005147,0.09,0.21,0.180219,-0.353230
37.482000,-0.000400,-0.006400,0.01,0.01,0.011029,0.000980,0.09,0.16,0.497405,0.187428
37.515000,0.000200,-0.006200,0.01,0.01,0.018137,0.013235,0.04,0.11,-0.115340,0.475779
37.549000,0.000700,-0.005500,0.01,0.02,0.010049,0.026225,-0.02,0.04,-0.295559,0.209054
37.582000,0.000900,-0.004600,0.01,0.02,0.004657,0.018382,-0.06,-0.03,0.007209,-0.612745
37.615000,0.001100,-0.004300,0.01,0.01,0.009314,0.005392,-0.10,-0.05,0.216263,-0.072088
37.649000,0.001500,-0.004100,0.00,0.01,0.010784,0.008088,-0.15,-0.04,-0.173010,0.194637
37.682000,0.001700,-0.003700,-0.00,0.01,-0.002696,0.015931,-0.18,-0.05,-0.569493,0.209054
37.715000,0.001300,-0.003100,-0.01,0.01,-0.018382,0.014706,-0.11,-0.06,-0.281142,-0.288351
37.749000,0.000600,-0.002800,-0.01,0.01,-0.017647,0.001716,0.03,-0.03,0.302768,-0.396482
37.782000,0.000200,-0.002900,-0.01,0.01,-0.007353,-0.002206,0.14,0.05,0.259516,0.194637
37.815000,0.000100,-0.002800,-0.00,0.01,0.001961,0.010294,0.11,0.06,0.273933,0.475779
37.849000,0.000300,-0.002200,0.00,0.01,0.009314,0.023529,-0.03,-0.03,0.115340,0.216263
37.882000,0.000600,-0.001400,-0.00,0.01,0.003186,0.014706,-0.16,-0.14,-0.468570,-0.692042
37.915000,0.000400,-0.001300,-0.01,0.00,-0.015931,-0.004657,-0.15,-0.15,-0.569493,-0.353230
37.949000,-0.000400,-0.001600,-0.02,-0.00,-0.026471,-0.010784,-0.03,-0.06,0.000000,0.000000
37.982000,-0.001200,-0.001900,-0.01,-0.00,-0.015441,-0.002941,0.10,0.03,0.583910,0.403691
38.015000,-0.001400,-0.001800,-0.01,0.00,0.000490,0.003922,0.18,0.06,0.273933,-0.028835
38.049000,-0.001300,-0.001700,-0.00,0.00,0.000000,0.002941,0.19,-0.01,-0.245098,0.000000
38.082000,-0.001400,-0.001600,0.01,0.00,-0.000245,0.003676,0.15,-0.12,0.281142,0.021626
38.115000,-0.001200,-0.001500,0.01,-0.01,0.014706,-0.000000,0.10,-0.21,0.504614,-0.259516
38.149000,-0.000500,-0.001700,0.01,-0.02,0.017647,-0.014706,0.05,-0.21,-0.331603,-0.562284
38.182000,-0.000100,-0.002500,0.01,-0.02,0.009314,-0.030392,-0.02,-0.12,-0.086505,-0.288351
38.216000,0.000200,-0.003600,0.01,-0.02,0.010294,-0.027696,-0.09,0.00,0.115340,0.410900
38.249000,0.000600,-0.004300,0.01,-0.02,0.011765,-0.016422,-0.13,0.11,-0.072088,0.180219
38.282000,0.000900,-0.004800,0.00,-0.02,0.001471,-0.016422,-0.11,0.17,-0.490196,-0.136967
38.316000,0.000700,-0.005400,-0.00,-0.01,-0.009559,-0.014951,-0.04,0.21,-0.093714,0.266724
38.349000,0.000400,-0.005700,-0.00,-0.00,-0.003431,0.000490,0.05,0.18,0.403691,0.576701
38.382000,0.000500,-0.005400,0.00,0.01,0.005147,0.012255,0.10,0.08,0.064879,0.072088
38.416000,0.000700,-0.005000,0.01,0.01,0.007598,0.010049,0.09,-0.06,0.093714,-0.180219
38.449000,0.001000,-0.004800,0.01,0.00,0.009069,-0.000000,0.04,-0.14,-0.007209,-0.374856
38.482000,0.001300,-0.005000,0.01,-0.01,0.008578,-0.010049,0.00,-0.13,-0.007209,-0.180219
38.516000,0.001600,-0.005400,0.01,-0.01,0.010784,-0.010784,-0.06,-0.06,0.115340,0.115340
38.549000,0.002000,-0.005700,0.01,-0.01,0.009804,-0.008333,-0.13,0.02,-0.187428,-0.000000
38.582000,0.002200,-0.006000,-0.00,-0.01,0.002206,-0.011275,-0.16,0.10,-0.252307,-0.129758
38.616000,0.002100,-0.006400,-0.01,-0.00,-0.011765,-0.007108,-0.11,0.13,-0.504614,0.382065
38.649000,0.001500,-0.006400,-0.01,0.00,-0.015441,0.007353,-0.04,0.14,0.309977,0.389273
38.682000,0.001200,-0.006000,-0.01,0.01,-0.001225,0.010049,-0.01,0.22,0.410900,-0.223472
38.716000,0.001300,-0.005800,-0.01,0.01,-0.001225,0.001716,-0.02,0.58,-0.410900,-0.151384
38.749000,0.001000,-0.005700,-0.01,0.03,-0.014951,0.009069,-0.01,1.30,-0.295559,0.713668
38.782000,0.000400,-0.004700,-0.01,0.09,-0.014706,0.062500,0.06,2.19,0.302768,2.458189
38.816000,0.000100,-0.000900,-0.01,0.19,-0.003922,0.170098,0.17,2.87,0.273933,3.734141
38.849000,0.000100,0.007100,0.00,0.30,0.000980,0.299510,0.24,2.99,0.043253,3.705306
38.883000,0.000200,0.019300,0.01,0.40,0.009559,0.411520,0.21,2.44,0.468570,2.789792
38.916000,0.000800,0.034700,0.02,0.47,0.025490,0.488480,0.06,1.26,0.389273,1.679642
38.949000,0.001800,0.052000,0.02,0.49,0.027696,0.521078,-0.14,-0.40,-0.281142,0.144175
38.983000,0.002500,0.069400,0.01,0.45,0.010784,0.488235,-0.36,-2.31,-0.648789,-2.148212
39.016000,0.002500,0.084300,-0.01,0.34,-0.007353,0.372059,-0.49,-4.05,-0.403691,-4.642445
39.049000,0.002000,0.093900,-0.03,0.17,-0.024510,0.179902,-0.49,-5.02,-0.619954,-6.459054
39.083000,0.000800,0.096200,-0.04,-0.03,-0.047304,-0.045833,-0.37,-4.71,-0.655998,-6.495098
39.116000,-0.001100,0.091200,-0.05,-0.18,-0.057843,-0.234559,-0.20,-3.11,0.043253,-4.289216
39.149000,-0.003000,0.081400,-0.06,-0.25,-0.054167,-0.313971,0.01,-0.80,0.108131,-0.295559
39.183000,-0.004800,0.071200,-0.05,-0.23,-0.055882,-0.262990,0.23,1.29,-0.158593,3.049308
39.216000,-0.006700,0.064300,-0.04,-0.14,-0.048284,-0.140441,0.36,2.44,0.641580,3.842272
