Time,PosX,PosY,RawVelX,RawVelY,CalcVelX,CalcVelY,RawAccX,RawAccY,CalcAccX,CalcAccY,CalcJerkX,CalcJerkY,CalcForceX,CalcForceY,CalcImpulseX,CalcImpulseY,CalcWork,CalcPower
35.881000,-0.000000,0.000000,0.03,0.18,-0.001716,0.153431,-0.64,-1.46,-1.117359,-1.585928,11.131183,-16.219723,-1.117359,-1.585928,-0.001716,0.153431,0.011772,-0.241414
35.915000,0.002200,0.006700,0.03,0.18,-0.001716,0.153431,-0.64,-1.46,-1.117359,-1.585928,11.131183,-16.219723,-1.117359,-1.585928,-0.001716,0.153431,0.011772,-0.241414
35.948000,0.003800,0.013600,0.03,0.18,-0.005637,0.143342,-0.64,-1.46,-0.968378,-1.649606,12.933374,-16.325734,-0.968378,-1.649606,-0.005637,0.143342,0.010289,-0.230998
35.981000,0.004400,0.019600,0.00,0.14,-0.009600,0.119935,-0.58,-1.62,-0.760525,-1.838235,11.025171,-16.590763,-0.760525,-1.838235,-0.009600,0.119935,0.007238,-0.213167
36.015000,0.003800,0.023800,-0.01,0.08,-0.017402,0.069935,-0.42,-2.05,-0.444541,-2.138601,10.495115,-13.940481,-0.444541,-2.138601,-0.017402,0.069935,0.002597,-0.141826
36.048000,0.002900,0.025700,-0.02,0.00,-0.021609,0.000490,-0.18,-2.40,-0.188629,-2.422145,6.837726,-4.982529,-0.188629,-2.422145,-0.021609,0.000490,0.000234,0.002889
36.081000,0.002100,0.024500,-0.03,-0.09,-0.023938,-0.081127,0.04,-2.29,0.048058,-2.292388,6.519693,11.184188,0.048058,-2.292388,-0.023938,-0.081127,0.003577,0.184825
36.115000,0.001200,0.019900,-0.02,-0.16,-0.018954,-0.149714,0.19,-1.59,0.228278,-1.649606,2.915310,29.365120,0.228278,-1.649606,-0.018954,-0.149714,0.011387,0.242642
36.148000,0.000400,0.012500,-0.01,-0.20,-0.010580,-0.184967,0.26,-0.38,0.248702,-0.367647,0.265028,41.556415,0.248702,-0.367647,-0.010580,-0.184967,0.017162,0.065371
36.181000,0.000200,0.004500,-0.00,-0.19,-0.001920,-0.173652,0.22,0.95,0.243897,1.003220,-2.968315,35.884812,0.243897,1.003220,-0.001920,-0.173652,0.015079,-0.174679
36.215000,0.000700,-0.001900,0.01,-0.13,0.003391,-0.122181,0.07,1.83,0.056469,1.916330,-5.724608,14.470537,0.056469,1.916330,0.003391,-0.122181,0.007470,-0.233948
36.248000,0.001000,-0.005000,0.00,-0.05,0.002410,-0.054412,-0.10,1.87,-0.106930,1.936755,-4.028428,-12.721352,-0.106930,1.936755,0.002410,-0.054412,0.001483,-0.105640
36.281000,0.001000,-0.004500,-0.00,0.01,-0.003064,-0.000368,-0.18,1.19,-0.198241,1.166619,-0.636068,-27.138883,-0.198241,1.166619,-0.003064,-0.000368,0.000005,0.000178
36.315000,0.000800,-0.002400,-0.01,0.04,-0.009273,0.023693,-0.14,0.29,-0.150183,0.254710,2.915310,-25.071664,-0.150183,0.254710,-0.009273,0.023693,0.000324,0.007427
36.348000,0.000200,-0.001000,-0.01,0.02,-0.012337,0.019771,-0.03,-0.33,-0.026432,-0.420511,3.339355,-11.078177,-0.026432,-0.420511,-0.012337,0.019771,0.000272,-0.007988
36.381000,-0.000400,-0.001000,-0.01,-0.00,-0.011683,0.003064,0.06,-0.47,0.060073,-0.496203,1.961208,2.173231,0.060073,-0.496203,-0.011683,0.003064,0.000073,-0.002222
36.415000,-0.000700,-0.001500,-0.01,-0.02,-0.008701,-0.011724,0.13,-0.31,0.114139,-0.342416,2.173231,7.526800,0.114139,-0.342416,-0.008701,-0.011724,0.000107,0.003021
36.448000,-0.000900,-0.002200,-0.00,-0.02,-0.003309,-0.018342,0.17,-0.08,0.195838,-0.046857,0.742079,6.572698,0.195838,-0.046857,-0.003309,-0.018342,0.000174,0.000211
