Time,PosX,PosY,RawVelX,RawVelY,CalcVelX,CalcVelY,RawAccX,RawAccY,CalcAccX,CalcAccY
35.881000,-0.000000,0.000000,0.03,0.18,0.032353,0.189706,-0.64,-1.46,-0.865052,-0.778547
35.915000,0.002200,0.006700,0.03,0.18,0.032353,0.189706,-0.64,-1.46,-0.865052,-0.778547
35.948000,0.003800,0.013600,0.03,0.18,0.032353,0.189706,-0.64,-1.46,-0.865052,-0.778547
35.981000,0.004400,0.019600,0.00,0.14,0.000000,0.150000,-0.58,-1.62,-1.038062,-1.557093
36.015000,0.003800,0.023800,-0.01,0.08,-0.022059,0.089706,-0.42,-2.05,-0.259516,-1.989619
36.048000,0.002900,0.025700,-0.02,0.00,-0.025000,0.010294,-0.18,-2.40,0.086505,-2.681661
36.081000,0.002100,0.024500,-0.03,-0.09,-0.025000,-0.085294,0.04,-2.29,-0.086505,-2.941176
36.115000,0.001200,0.019900,-0.02,-0.16,-0.025000,-0.176471,0.19,-1.59,0.086505,-2.422145
36.148000,0.000400,0.012500,-0.01,-0.20,-0.014706,-0.226471,0.26,-0.38,0.519031,-0.519031
36.181000,0.000200,0.004500,-0.00,-0.19,0.004412,-0.211765,0.22,0.95,0.605536,1.384083
36.215000,0.000700,-0.001900,0.01,-0.13,0.011765,-0.139706,0.07,1.83,-0.173010,2.854671
36.248000,0.001000,-0.005000,0.00,-0.05,0.004412,-0.038235,-0.10,1.87,-0.259516,3.114187
36.281000,0.001000,-0.004500,-0.00,0.01,-0.002941,0.038235,-0.18,1.19,-0.173010,1.384083
36.315000,0.000800,-0.002400,-0.01,0.04,-0.011765,0.051471,-0.14,0.29,-0.346021,-0.605536
36.348000,0.000200,-0.001000,-0.01,0.02,-0.017647,0.020588,-0.03,-0.33,0.000000,-1.211073
36.381000,-0.000400,-0.001000,-0.01,-0.00,-0.013235,-0.007353,0.06,-0.47,0.259516,-0.432526
36.415000,-0.000700,-0.001500,-0.01,-0.02,-0.007353,-0.017647,0.13,-0.31,0.086505,-0.173010
36.448000,-0.000900,-0.002200,-0.00,-0.02,-0.004412,-0.020588,0.17,-0.08,0.086505,0.000000
36.481000,-0.001000,-0.002900,0.00,-0.02,0.000000,-0.020588,0.17,0.10,0.173010,-0.000000
36.515000,-0.000900,-0.003600,0.01,-0.01,0.010294,-0.016176,0.12,0.23,0.432526,0.259516
36.548000,-0.000300,-0.004000,0.01,-0.00,0.017647,-0.004412,0.03,0.27,-0.000000,0.432526
36.582000,0.000300,-0.003900,0.01,0.01,0.010294,0.011765,-0.04,0.18,-0.432526,0.519031
36.615000,0.000400,-0.003200,0.01,0.01,0.004412,0.019118,-0.12,0.02,0.086505,-0.086505
36.648000,0.000600,-0.002600,0.00,0.01,0.008824,0.010294,-0.20,-0.09,0.173010,-0.432526
36.681000,0.001000,-0.002500,-0.00,0.00,0.001471,-0.004412,-0.21,-0.03,-0.605536,-0.432526
36.715000,0.000700,-0.002900,-0.01,0.00,-0.020588,-0.004412,-0.11,0.11,-0.692042,0.432526
36.748000,-0.000400,-0.002800,-0.02,0.01,-0.027941,0.014706,0.09,0.15,0.259516,0.692042
36.782000,-0.001200,-0.001900,-0.01,0.02,-0.005882,0.026471,0.22,0.02,1.038062,-0.000000
36.815000,-0.000800,-0.001000,0.01,0.02,0.016176,0.019118,0.14,-0.18,0.259516,-0.432526
36.848000,-0.000100,-0.000600,0.01,0.00,0.013235,0.001471,-0.06,-0.29,-0.432526,-0.605536
36.882000,0.000100,-0.000900,-0.00,-0.01,-0.004412,-0.011765,-0.17,-0.20,-0.605536,-0.173010
36.915000,-0.000400,-0.001400,-0.01,-0.01,-0.017647,-0.016176,-0.08,0.02,-0.173010,-0.086505
36.948000,-0.001100,-0.002000,-0.01,-0.01,-0.013235,-0.011765,0.08,0.20,0.432526,0.346021
36.982000,-0.001300,-0.002200,-0.00,0.01,0.001471,0.007353,0.11,0.20,0.432526,0.778547
37.015000,-0.001000,-0.001500,0.00,0.01,0.010294,0.020588,-0.02,0.05,0.086505,-0.000000
37.048000,-0.000600,-0.000800,-0.00,0.01,0.002941,0.011765,-0.16,-0.13,-0.519031,-0.519031
37.082000,-0.000800,-0.000700,-0.01,-0.00,-0.017647,-0.004412,-0.13,-0.18,-0.692042,-0.432526
37.115000,-0.001800,-0.001100,-0.02,-0.01,-0.025000,-0.011765,0.06,-0.11,0.259516,0.000000
37.148000,-0.002500,-0.001500,-0.01,-0.01,-0.008824,-0.005882,0.24,-0.06,0.692042,0.346021
37.182000,-0.002400,-0.001500,0.01,-0.01,0.010294,-0.001471,0.26,-0.10,0.432526,-0.086505
37.215000,-0.001800,-0.001600,0.01,-0.01,0.017647,-0.008824,0.13,-0.19,0.000000,-0.346021
37.249000,-0.001200,-0.002100,0.01,-0.02,0.014706,-0.022059,-0.03,-0.23,-0.173010,-0.432526
37.282000,-0.000800,-0.003100,0.01,-0.03,0.008824,-0.032353,-0.11,-0.15,-0.173010,-0.173010
37.315000,-0.000600,-0.004300,0.00,-0.03,0.002941,-0.036765,-0.10,0.04,-0.173010,-0.086505
37.349000,-0.000600,-0.005600,0.00,-0.03,0.001471,-0.032353,-0.06,0.22,0.086505,0.346021
37.382000,-0.000500,-0.006500,0.00,-0.02,0.002941,-0.016176,-0.01,0.30,0.000000,0.605536
37.415000,-0.000400,-0.006700,0.00,-0.00,0.000000,0.001471,0.05,0.27,-0.173010,0.432526
37.448000,-0.000500,-0.006400,0.00,0.00,0.000000,0.004412,0.09,0.21,0.173010,-0.259516
37.482000,-0.000400,-0.006400,0.01,0.01,0.010294,0.002941,0.09,0.16,0.432526,0.173010
37.515000,0.000200,-0.006200,0.01,0.01,0.016176,0.013235,0.04,0.11,-0.086505,0.432526
37.549000,0.000700,-0.005500,0.01,0.02,0.010294,0.023529,-0.02,0.04,-0.259516,0.173010
37.582000,0.000900,-0.004600,0.01,0.02,0.005882,0.017647,-0.06,-0.03,0.000000,-0.519031
37.615000,0.001100,-0.004300,0.01,0.01,0.008824,0.007353,-0.10,-0.05,0.173010,-0.086505
37.649000,0.001500,-0.004100,0.00,0.01,0.008824,0.008824,-0.15,-0.04,-0.173010,0.173010
37.682000,0.001700,-0.003700,-0.00,0.01,-0.002941,0.014706,-0.18,-0.05,-0.519031,0.173010
37.715000,0.001300,-0.003100,-0.01,0.01,-0.016176,0.013235,-0.11,-0.06,-0.259516,-0.259516
37.749000,0.000600,-0.002800,-0.01,0.01,-0.016176,0.002941,0.03,-0.03,0.259516,-0.346021
37.782000,0.000200,-0.002900,-0.01,0.01,-0.007353,0.000000,0.14,0.05,0.259516,0.173010
37.815000,0.000100,-0.002800,-0.00,0.01,0.001471,0.010294,0.11,0.06,0.259516,0.432526
37.849000,0.000300,-0.002200,0.00,0.01,0.007353,0.020588,-0.03,-0.03,0.086505,0.173010
37.882000,0.000600,-0.001400,-0.00,0.01,0.001471,0.013235,-0.16,-0.14,-0.432526,-0.605536
37.915000,0.000400,-0.001300,-0.01,0.00,-0.014706,-0.002941,-0.15,-0.15,-0.519031,-0.346021
37.949000,-0.000400,-0.001600,-0.02,-0.00,-0.023529,-0.008824,-0.03,-0.06,0.000000,0.000000
37.982000,-0.001200,-0.001900,-0.01,-0.00,-0.014706,-0.002941,0.10,0.03,0.519031,0.346021
38.015000,-0.001400,-0.001800,-0.01,0.00,-0.001471,0.002941,0.18,0.06,0.259516,-0.000000
38.049000,-0.001300,-0.001700,-0.00,0.00,0.000000,0.002941,0.19,-0.01,-0.173010,0.000000
38.082000,-0.001400,-0.001600,0.01,0.00,0.001471,0.002941,0.15,-0.12,0.259516,0.000000
38.115000,-0.001200,-0.001500,0.01,-0.01,0.013235,-0.001471,0.10,-0.21,0.432526,-0.259516
38.149000,-0.000500,-0.001700,0.01,-0.02,0.016176,-0.014706,0.05,-0.21,-0.259516,-0.519031
38.182000,-0.000100,-0.002500,0.01,-0.02,0.010294,-0.027941,-0.02,-0.12,-0.086505,-0.259516
38.216000,0.000200,-0.003600,0.01,-0.02,0.010294,-0.026471,-0.09,0.00,0.086505,0.346021
38.249000,0.000600,-0.004300,0.01,-0.02,0.010294,-0.017647,-0.13,0.11,-0.086505,0.173010
38.282000,0.000900,-0.004800,0.00,-0.02,0.001471,-0.016176,-0.11,0.17,-0.432526,-0.086505
