Time,PosX,PosY,RawVelX,RawVelY,CalcVelX,CalcVelY,RawAccX,RawAccY,CalcAccX,CalcAccY,CalcJerkX,CalcJerkY,CalcForceX,CalcForceY,CalcImpulseX,CalcImpulseY,CalcWork,CalcPower
35.881000,-0.000000,0.000000,0.03,0.18,0.032353,0.189706,-0.64,-1.46,-0.865052,-0.778547,-7.632811,-25.442703,-0.865052,-0.778547,0.032353,0.189706,0.018518,-0.175682
35.915000,0.002200,0.006700,0.03,0.18,0.032353,0.189706,-0.64,-1.46,-0.865052,-0.778547,-7.632811,-25.442703,-0.865052,-0.778547,0.032353,0.189706,0.018518,-0.175682
35.948000,0.003800,0.013600,0.03,0.18,0.017892,0.166422,-0.64,-1.46,-0.792964,-1.110150,-0.848090,-22.686410,-0.792964,-1.110150,0.017892,0.166422,0.014008,-0.198941
35.981000,0.004400,0.019600,0.00,0.14,0.000531,0.126021,-0.58,-1.62,-0.651192,-1.612361,4.735170,-19.046690,-0.651192,-1.612361,0.000531,0.126021,0.007941,-0.203538
36.015000,0.003800,0.023800,-0.01,0.08,-0.012616,0.066142,-0.42,-2.05,-0.327198,-2.054098,6.584477,-14.164283,-0.327198,-2.054098,-0.012616,0.066142,0.002267,-0.131735
36.048000,0.002900,0.025700,-0.02,0.00,-0.018681,-0.008169,-0.18,-2.40,-0.134230,-2.398850,4.218856,-3.626959,-0.134230,-2.398850,-0.018681,-0.008169,0.000208,0.022103
36.081000,0.002100,0.024500,-0.03,-0.09,-0.020167,-0.085926,0.04,-2.29,-0.004817,-2.212746,4.556848,13.572550,-0.004817,-2.212746,-0.020167,-0.085926,0.003895,0.190229
36.115000,0.001200,0.019900,-0.02,-0.16,-0.016524,-0.147545,0.19,-1.59,0.193088,-1.431806,4.006888,31.128729,0.193088,-1.431806,-0.016524,-0.147545,0.011021,0.208066
36.148000,0.000400,0.012500,-0.01,-0.20,-0.008321,-0.172980,0.26,-0.38,0.276477,-0.073977,0.155154,38.617524,0.276477,-0.073977,-0.008321,-0.172980,0.014996,0.010496
36.181000,0.000200,0.004500,-0.00,-0.19,0.000026,-0.153666,0.22,0.95,0.208019,1.205207,-4.818912,28.798200,0.208019,1.205207,0.000026,-0.153666,0.011807,-0.185194
36.215000,0.000700,-0.001900,0.01,-0.13,0.002784,-0.101010,0.07,1.83,-0.049009,1.889807,-5.229766,6.995504,-0.049009,1.889807,0.002784,-0.101010,0.005105,-0.191025
36.248000,0.001000,-0.005000,0.00,-0.05,-0.000512,-0.040240,-0.10,1.87,-0.146509,1.683656,-1.462757,-16.720793,-0.146509,1.683656,-0.000512,-0.040240,0.000810,-0.067675
36.281000,0.001000,-0.004500,-0.00,0.01,-0.005504,0.001213,-0.18,1.19,-0.147926,0.754170,0.368737,-25.791449,-0.147926,0.754170,-0.005504,0.001213,0.000016,0.001729
36.315000,0.000800,-0.002400,-0.01,0.04,-0.010071,0.012858,-0.14,0.29,-0.121160,-0.069474,2.361934,-16.838410,-0.121160,-0.069474,-0.010071,0.012858,0.000133,0.000327
36.348000,0.000200,-0.001000,-0.01,0.02,-0.011910,0.005041,-0.03,-0.33,0.012822,-0.390498,3.211405,-2.652504,0.012822,-0.390498,-0.011910,0.005041,0.000084,-0.002121
36.381000,-0.000400,-0.001000,-0.01,-0.00,-0.010036,-0.005840,0.06,-0.47,0.097284,-0.249672,1.140912,3.324213,0.097284,-0.249672,-0.010036,-0.005840,0.000067,0.000482
